x,y,z,idx
155.9526163405096,-157.57827969944304,0.0,0
162.00513788116234,-150.04039213870334,0.0,1
168.17319795370403,-142.49757634389232,0.0,2
174.25921115982703,-135.0709405871612,0.0,3
175.75873854649876,-133.14377028237394,0.0,4
176.9123797244886,-131.7047754566396,0.0,5
177.59112065501614,-130.55241666024853,0.0,6
178.37552952764204,-128.97561901041198,0.0,7
179.10329701342852,-126.91078411243976,0.0,8
179.87945110043069,-124.49354010330829,0.0,9
180.8718215446172,-120.41511753685778,0.0,10
181.4192299027145,-116.9531886548756,0.0,11
181.74320514555046,-114.00114652424332,0.0,12
181.96949333254446,-110.76058468059881,0.0,13
181.98246253242831,-108.17219770354839,0.0,14
181.85842390876343,-99.20920000423986,0.0,15
181.4434770685255,-93.1600138285265,0.0,16
179.824121967012,-84.2096502211342,0.0,17
177.4870406014881,-76.51999101231543,0.0,18
173.326884534724,-66.17103836684427,0.0,19
168.54415265705438,-57.79782115214835,0.0,20
164.21221429698443,-51.182813754652805,0.0,21
159.3927264249475,-45.12005086233581,0.0,22
153.70191506155857,-39.08329256149588,0.0,23
147.13317347111376,-33.755480087670186,0.0,24
137.0552010765769,-27.118881672572314,0.0,25
129.19368996334913,-22.889744009865222,0.0,26
123.12414107389264,-20.263018374677223,0.0,27
117.2474164921885,-18.179705478589955,0.0,28
111.35705136601644,-16.667854700150258,0.0,29
108.21333560521026,-16.000389983539634,0.0,30
102.15851138787218,-15.957924569771876,0.0,31
93.07000306313672,-16.17773638728632,0.0,32
68.37895996737241,-16.742475424000435,0.0,33
30.100088726471682,-16.62684510906317,0.0,34
6.218297051503774,-16.35269771999408,0.0,35
-14.776577804470785,-16.229912287636445,0.0,36
-50.79059698814573,-15.933007856060737,0.0,37
-95.85693839115658,-15.725259483691469,0.0,38
-109.9496121612647,-15.747512316365732,0.0,39
