task,node,topic,timer_handle,callback_duration_us
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.69
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,80.253
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,105.312
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,86.231
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.701
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,169.595
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,326.036
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,355.246
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.941
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,135.601
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,57.976
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,42.243
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,115.336
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,50.046
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,54.983
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,64.23
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,76.552
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,31.06
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.254
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,57.115
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,97.455
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,29.706
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,386.377
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,106.746
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,102.288
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,106.911
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,568.955
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,385.348
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,79.448
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.746
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,35.658
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,72.546
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.004
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.419
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,313.021
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,62.373
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,98.03
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,106.923
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,49.174
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,69.977
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,189.121
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.762
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,58.453
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.422
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,42.307
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,109.13
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,40.797
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,54.311
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.188
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,29.942
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,46.447
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.476
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,46.017
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,52.363
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,38.611
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,83.182
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,103.019
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.901
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.629
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,80.829
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.95
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,40.809
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.095
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,135.684
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,454.208
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.818
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,25.527
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,68.09
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,123.962
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.58
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,62.646
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,56.991
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,110.29
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,37.583
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,80.444
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,57.243
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,98.564
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,174.556
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,75.685
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,94.185
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,108.083
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,104.246
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,49.222
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,70.097
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,335.956
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,95.16
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,54.631
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.193
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,85.977
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,42.243
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,86.121
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,36.896
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,640.962
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,78.215
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,53.105
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,72.42
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,99.056
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,58.387
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.88
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,72.389
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,52.376
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,102.028
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,53.995
