# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
127.9920148; -1372.0004156; -403.9658106; -1.5692619; 0.0001716; 61.6696492; 0.1838965
129.9918900; -1370.0005482; -403.9624003; -1.5689212; 0.0001690; 61.6756125; 0.1829399
131.9917652; -1368.0006761; -403.9583162; -1.5685890; 0.0001632; 61.6815442; 0.1819883
133.9916405; -1366.0008061; -403.9535790; -1.5682678; 0.0001581; 61.6874444; 0.1810416
135.9915157; -1364.0009386; -403.9482095; -1.5679566; 0.0001530; 61.6933134; 0.1801000
137.9913909; -1362.0010731; -403.9422279; -1.5676558; 0.0001479; 61.6991513; 0.1791633
139.9912662; -1360.0012089; -403.9356548; -1.5673651; 0.0001428; 61.7049583; 0.1782315
141.9911414; -1358.0013467; -403.9285107; -1.5670847; 0.0001376; 61.7107346; 0.1773046
143.9910166; -1356.0014868; -403.9208161; -1.5668146; 0.0001325; 61.7164803; 0.1763825
145.9908919; -1354.0016290; -403.9125916; -1.5665547; 0.0001274; 61.7221956; 0.1754653
147.9907671; -1352.0017728; -403.9038575; -1.5663050; 0.0001223; 61.7278806; 0.1745529
149.9906423; -1350.0019178; -403.8946344; -1.5660657; 0.0001171; 61.7335355; 0.1736453
151.9905176; -1348.0020672; -403.8849429; -1.5658365; 0.0001120; 61.7391606; 0.1727425
153.9903928; -1346.0022188; -403.8748035; -1.5656177; 0.0001069; 61.7447558; 0.1718444
155.9902680; -1344.0023719; -403.8642366; -1.5654091; 0.0001017; 61.7503215; 0.1709510
157.9901433; -1342.0025262; -403.8532628; -1.5652108; 0.0000966; 61.7558578; 0.1700623
159.9900185; -1340.0026813; -403.8419026; -1.5650227; 0.0000915; 61.7613648; 0.1691782
161.9898937; -1338.0028422; -403.8301766; -1.5648449; 0.0000863; 61.7668426; 0.1682988
163.9897689; -1336.0030049; -403.8181053; -1.5646773; 0.0000812; 61.7722915; 0.1674240
165.9896442; -1334.0031685; -403.8057091; -1.5645200; 0.0000761; 61.7777116; 0.1665538
167.9895194; -1332.0033326; -403.7930087; -1.5643730; 0.0000710; 61.7831031; 0.1656882
169.9893946; -1330.0034970; -403.7800244; -1.5642363; 0.0000658; 61.7884661; 0.1648271
171.9892699; -1328.0036677; -403.7667770; -1.5641098; 0.0000607; 61.7938007; 0.1639705
173.9891451; -1326.0038398; -403.7532869; -1.5639935; 0.0000556; 61.7991072; 0.1631184
175.9890203; -1324.0040119; -403.7395745; -1.5638875; 0.0000504; 61.8043856; 0.1622707
177.9888956; -1322.0041839; -403.7256605; -1.5637918; 0.0000453; 61.8096362; 0.1614275
179.9887708; -1320.0043555; -403.7115653; -1.5637064; 0.0000402; 61.8148590; 0.1605888
181.9886460; -1318.0045333; -403.6973096; -1.5636312; 0.0000350; 61.8200543; 0.1597544
183.9885213; -1316.0047118; -403.6829137; -1.5635662; 0.0000299; 61.8252221; 0.1589244
185.9883965; -1314.0048896; -403.6683982; -1.5635116; 0.0000248; 61.8303626; 0.1580987
187.9882717; -1312.0050665; -403.6537835; -1.5634671; 0.0000196; 61.8354761; 0.1572773
189.9881470; -1310.0052421; -403.6390903; -1.5634330; 0.0000145; 61.8405625; 0.1564603
191.9880222; -1308.0054235; -403.6243391; -1.5634091; 0.0000094; 61.8456221; 0.1556476
193.9878974; -1306.0056051; -403.6095503; -1.5633954; 0.0000043; 61.8506550; 0.1548390
195.9877726; -1304.0057850; -403.5947445; -1.5633920; -0.0000009; 61.8556613; 0.1540348
197.9876479; -1302.0059632; -403.5799421; -1.5633989; -0.0000060; 61.8606413; 0.1532347
199.9875231; -1300.0061393; -403.5651636; -1.5634160; -0.0000111; 61.8655950; 0.1524389
201.9873983; -1298.0063207; -403.5504296; -1.5634433; -0.0000162; 61.8705225; 0.1516471
203.9872736; -1296.0065014; -403.5357606; -1.5634809; -0.0000214; 61.8754241; 0.1508596
205.9871488; -1294.0066798; -403.5211770; -1.5635288; -0.0000265; 61.8802999; 0.1500762
207.9870240; -1292.0068555; -403.5066993; -1.5635869; -0.0000316; 61.8851499; 0.1492968
209.9868993; -1290.0070284; -403.4923481; -1.5636552; -0.0000367; 61.8899744; 0.1485216
211.9867745; -1288.0072059; -403.4781438; -1.5637338; -0.0000419; 61.8947734; 0.1477504
213.9866497; -1286.0073823; -403.4641069; -1.5638227; -0.0000470; 61.8995472; 0.1469832
215.9865250; -1284.0075555; -403.4502580; -1.5639217; -0.0000521; 61.9042958; 0.1462200
217.9864002; -1282.0077253; -403.4366173; -1.5640311; -0.0000572; 61.9090194; 0.1454609
219.9862754; -1280.0078914; -403.4232055; -1.5641506; -0.0000623; 61.9137181; 0.1447057
221.9861506; -1278.0080620; -403.4100431; -1.5642804; -0.0000675; 61.9183921; 0.1439544
223.9860259; -1276.0082309; -403.3971505; -1.5644204; -0.0000726; 61.9230414; 0.1432071
225.9859011; -1274.0083960; -403.3845482; -1.5645707; -0.0000777; 61.9276663; 0.1424637
227.9857763; -1272.0085569; -403.3722566; -1.5647312; -0.0000828; 61.9322668; 0.1417242
229.9856516; -1270.0087135; -403.3602962; -1.5649019; -0.0000879; 61.9368431; 0.1409886
231.9855268; -1268.0088747; -403.3486874; -1.5650829; -0.0000930; 61.9413953; 0.1402568
233.9854020; -1266.0090340; -403.3374509; -1.5652741; -0.0000982; 61.9459235; 0.1395288
235.9852773; -1264.0091889; -403.3266068; -1.5654755; -0.0001033; 61.9504279; 0.1388046
237.9851525; -1262.0093391; -403.3161758; -1.5656872; -0.0001084; 61.9549087; 0.1380843
239.9850277; -1260.0094844; -403.3061783; -1.5659090; -0.0001135; 61.9593658; 0.1373676
241.9849030; -1258.0096351; -403.2966347; -1.5661411; -0.0001186; 61.9637995; 0.1366548
243.9847782; -1256.0097838; -403.2875655; -1.5663834; -0.0001237; 61.9682098; 0.1359456
245.9846534; -1254.0099280; -403.2789910; -1.5666359; -0.0001288; 61.9725970; 0.1352402
247.9845287; -1252.0100667; -403.2709317; -1.5668986; -0.0001339; 61.9769611; 0.1345384
