# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
129.8024422; -78.4636452; 4.5666611; 1.5959502; 0.0022271; 41.3942967; -8.8405414
131.7994028; -80.4599129; 4.5118065; 1.6006789; 0.0025077; 40.9655877; -8.3916497
133.7963635; -82.4558961; 4.4469465; 1.6059861; 0.0028190; 40.5544546; -7.8596445
135.7933241; -84.4514341; 4.3708464; 1.6119618; 0.0031914; 40.1655696; -7.2035295
137.7902848; -86.4463068; 4.2820186; 1.6187773; 0.0036521; 39.8058118; -6.3534100
139.7872454; -88.4405764; 4.1785724; 1.6266637; 0.0042466; 39.4857903; -5.3822290
141.7842061; -90.4340067; 4.0581665; 1.6358147; 0.0049289; 39.2126438; -4.3811463
143.7811667; -92.4260105; 3.9181518; 1.6463600; 0.0056370; 38.9888892; -3.3921665
145.7781274; -94.4162596; 3.7557294; 1.6583240; 0.0063385; 38.8147580; -2.4050731
147.7750880; -96.4042690; 3.5681363; 1.6716650; 0.0070345; 38.6908227; -1.2922611
149.7720487; -98.3895017; 3.3525918; 1.6864838; 0.0078026; 38.6240673; -1.1359059
151.7690093; -100.3706395; 3.1065302; 1.7022710; 0.0079297; 38.5652934; -1.1265183
153.7659700; -102.3477560; 2.8291852; 1.7179888; 0.0077412; 38.5069167; -1.4358222
155.7629306; -104.3210229; 2.5212137; 1.7331603; 0.0074801; 38.4323831; -1.8658323
157.7598913; -106.2898358; 2.1837097; 1.7479230; 0.0073013; 38.3353112; -2.1797835
159.7568519; -108.2528387; 1.8176626; 1.7623211; 0.0071211; 38.2215934; -2.5026830
161.7538126; -110.2102202; 1.4237676; 1.7763926; 0.0069805; 38.0906114; -2.7723268
163.7507732; -112.1623189; 1.0025380; 1.7902077; 0.0068570; 37.9449895; -3.0220397
165.7477339; -114.1086568; 0.5545660; 1.8037979; 0.0067720; 37.7856115; -3.2203321
167.7446945; -116.0488375; 0.0802690; 1.8173042; 0.0067354; 37.6150327; -3.3338326
169.7416552; -117.9823494; -0.4197288; 1.8302166; 0.0062056; 37.4376230; -4.1564829
171.7386158; -119.9105274; -0.9438894; 1.8420172; 0.0055776; 37.2152516; -5.1198753
173.7355765; -121.8325709; -1.4894611; 1.8524984; 0.0048945; 36.9394988; -6.1549520
175.7325371; -123.7478729; -2.0534042; 1.8615480; 0.0041483; 36.6052480; -7.2614757
177.7294978; -125.6571033; -2.6327352; 1.8689739; 0.0032919; 36.2069388; -8.4887329
179.7264584; -127.5665667; -3.2257704; 1.8745380; 0.0022608; 35.7356837; -9.9012924
181.7234190; -129.4724474; -3.8271099; 1.8779348; 0.0011142; 35.1780344; -11.3924367
183.7203797; -131.3746810; -4.4319172; 1.8789008; -0.0001892; 34.5252604; -12.1633305
185.7173403; -133.2752347; -5.0354499; 1.8774727; -0.0004822; 33.8144085; -10.9134107
187.7143010; -135.1778491; -5.6383919; 1.8785952; 0.0016130; 33.1636385; -8.6885101
189.7112616; -137.0797662; -6.2478827; 1.8839462; 0.0037340; 32.6362635; -6.9201991
191.7082223; -138.9757911; -6.8709253; 1.8932136; 0.0055213; 32.2100445; -5.3487100
193.7051829; -140.8652225; -7.5149120; 1.9059019; 0.0071707; 31.8767099; -3.8883130
195.7021436; -142.7459372; -8.1861073; 1.9217974; 0.0087319; 31.6321833; -2.4336594
197.6991042; -144.6154375; -8.8902716; 1.9407529; 0.0102794; 31.4781698; -0.8884060
199.6960649; -146.4705607; -9.6329262; 1.9629716; 0.0118792; 31.4217592; -0.6155428
201.6930255; -148.3063923; -10.4180468; 1.9869738; 0.0121844; 31.3826150; -0.6155428
203.6899862; -150.1230762; -11.2475473; 2.0111735; 0.0119408; 31.3434219; -0.3447267
205.6869468; -151.9194278; -12.1201414; 2.0347088; 0.0116633; 31.3214508; -0.0552763
207.6839075; -153.6949788; -13.0343544; 2.0577840; 0.0114269; 31.3179264; 0.1793273
209.6808681; -155.4491005; -13.9887770; 2.0803266; 0.0111516; 31.3293589; 0.4408895
211.6778288; -157.1815582; -14.9820267; 2.1023112; 0.0108696; 31.3574490; 0.6974789
213.6747894; -158.8922828; -16.0127762; 2.1237245; 0.0105706; 31.4018357; 0.9602501
215.6717501; -160.5808241; -17.0793860; 2.1445350; 0.0102624; 31.4628424; 1.2224289
217.6687107; -162.2469464; -18.1802447; 2.1647164; 0.0099439; 31.5403350; 1.4861093
