Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.140012;-303.23;-1447.34;0.00524471;-0.000304129;-0.00635621;1.58825;-303.23;-1445.6;0.252286;0.000304129;0.00635621;-1.55335;-0.00808003;-6.16395e-005;-0.0503986;7.01597e-005;-0.0101084;6.04913e-006;0.00748035;0.00520825;0.503781;-0.0175159;-0.122683;0.000712403;-0.00808003;157.138;0.0316602
0.150012;-303.23;-1447.34;0.00485021;-0.00030875;-0.00624379;1.58825;-303.23;-1445.6;0.251696;0.00030875;0.00624379;-1.55335;-0.00804685;-5.5004e-005;-0.0426589;0.00014212;-0.0102241;7.71154e-006;0.0052509;0.00232419;0.676276;-0.00174007;-0.0517584;0.000363772;-0.00804685;157.296;0.0382358
0.160013;-303.23;-1447.34;0.00461007;-0.000313994;-0.00615071;1.58825;-303.23;-1445.6;0.251294;0.000313994;0.00615071;-1.55335;-0.00795615;-5.07071e-005;-0.0347425;0.000168231;-0.00967665;1.1022e-005;0.00509872;0.000643269;0.77881;0.00629205;0.00166762;0.000199501;-0.00795615;157.54;0.0452081
0.170014;-303.23;-1447.34;0.00457169;-0.00032005;-0.00608289;1.58825;-303.23;-1445.6;0.251138;0.00032005;0.00608289;-1.55335;-0.00779028;-4.94666e-005;-0.0265952;0.000134422;-0.00826232;1.64861e-005;0.0076613;0.000534709;0.789912;0.00420401;0.0322255;0.000276168;-0.00779028;157.897;0.052699
0.180015;-303.23;-1447.34;0.0045333;-0.000326107;-0.00601507;1.58825;-303.23;-1445.6;0.250982;0.000326107;0.00601507;-1.55335;-0.00762441;-4.8226e-005;-0.0184479;0.000100612;-0.00684799;2.19503e-005;0.0102239;0.000426148;0.801014;0.00211597;0.0627834;0.000352836;-0.00762441;158.254;0.0601898
0.190016;-303.23;-1447.34;0.00449492;-0.000332164;-0.00594725;1.58825;-303.23;-1445.6;0.250826;0.000332164;0.00594725;-1.55334;-0.00745854;-4.69854e-005;-0.0103006;6.68032e-005;-0.00543366;2.74145e-005;0.0127865;0.000317588;0.812117;2.79268e-005;0.0933414;0.000429503;-0.00745854;158.611;0.0676806
0.200017;-303.23;-1447.34;0.00445653;-0.000338221;-0.00587943;1.58825;-303.23;-1445.6;0.25067;0.000338221;0.00587943;-1.55334;-0.00729267;-4.57448e-005;-0.0021533;3.29939e-005;-0.00401934;3.28787e-005;0.0153491;0.000209027;0.823219;-0.00206011;0.123899;0.00050617;-0.00729267;158.967;0.0751715
0.210017;-303.23;-1447.34;0.00448083;-0.000343855;-0.00583573;1.58825;-303.23;-1445.6;0.250618;0.000343855;0.00583573;-1.55334;-0.00711299;-4.20961e-005;0.00454576;6.05372e-006;-0.00267835;3.84813e-005;0.0172739;0.000183533;0.799431;-0.00330046;0.142347;0.000558385;-0.00711299;159.407;0.0830426
0.220018;-303.23;-1447.34;0.0046291;-0.000348651;-0.00583973;1.58825;-303.23;-1445.6;0.250774;0.000348651;0.00583973;-1.55334;-0.006906;-3.36841e-005;0.00838032;-7.29997e-006;-0.00148244;4.43578e-005;0.0179375;0.000322338;0.706631;-0.00286414;0.13684;0.000562235;-0.006906;160.01;0.091666
0.230019;-303.23;-1447.34;0.00477737;-0.000353448;-0.00584373;1.58825;-303.23;-1445.6;0.250929;0.000353448;0.00584373;-1.55334;-0.006699;-2.52722e-005;0.0122149;-2.06536e-005;-0.00028652;5.02344e-005;0.018601;0.000461142;0.613831;-0.00242782;0.131334;0.000566084;-0.006699;160.613;0.100289
0.24002;-303.23;-1447.34;0.00492565;-0.000358245;-0.00584772;1.58825;-303.23;-1445.6;0.251085;0.000358245;0.00584772;-1.55334;-0.00649201;-1.68602e-005;0.0160494;-3.40073e-005;0.000909398;5.61109e-005;0.0192645;0.000599947;0.521031;-0.0019915;0.125828;0.000569934;-0.00649201;161.216;0.108913
0.250021;-303.23;-1447.34;0.00507392;-0.000363042;-0.00585172;1.58825;-303.23;-1445.6;0.25124;0.000363042;0.00585172;-1.55334;-0.00628502;-8.44827e-006;0.019884;-4.7361e-005;0.00210532;6.19874e-005;0.0199281;0.000738751;0.428231;-0.00155518;0.120321;0.000573784;-0.00628502;161.819;0.117536
0.260021;-303.23;-1447.34;0.00522596;-0.000368421;-0.00586736;1.58825;-303.23;-1445.6;0.251419;0.000368421;0.00586736;-1.55334;-0.00610119;-5.3273e-006;0.0216905;-4.26442e-005;0.00278358;6.71535e-005;0.0198931;0.000711866;0.335857;-0.000947217;0.107066;0.000563139;-0.00610119;162.518;0.126463
0.270022;-303.23;-1447.34;0.0053829;-0.000374553;-0.00589811;1.58825;-303.23;-1445.6;0.25163;0.000374553;0.00589811;-1.55334;-0.00594743;-9.06984e-006;0.020866;-1.44863e-005;0.00279035;7.1398e-005;0.018952;0.000470045;0.244037;-0.000116599;0.0837595;0.00053369;-0.00594743;163.344;0.135783
0.280023;-303.23;-1447.34;0.00553984;-0.000380686;-0.00592885;1.58825;-303.23;-1445.6;0.25184;0.000380686;0.00592885;-1.55334;-0.00579366;-1.28124e-005;0.0200416;1.36717e-005;0.00279711;7.56426e-005;0.018011;0.000228225;0.152217;0.000714019;0.0604528;0.000504242;-0.00579366;164.169;0.145103
0.290024;-303.23;-1447.34;0.00569677;-0.000386819;-0.00595959;1.58825;-303.23;-1445.6;0.252051;0.000386819;0.00595959;-1.55334;-0.00563989;-1.65549e-005;0.0192172;4.18297e-005;0.00280388;7.98871e-005;0.0170699;-1.35958e-005;0.0603967;0.00154464;0.0371461;0.000474794;-0.00563989;164.995;0.154423
0.300025;-303.23;-1447.34;0.00585371;-0.000392951;-0.00599033;1.58826;-303.23;-1445.6;0.252262;0.000392951;0.00599033;-1.55334;-0.00548613;-2.02975e-005;0.0183928;6.99877e-005;0.00281064;8.41316e-005;0.0161288;-0.000255416;-0.0314234;0.00237526;0.0138394;0.000445345;-0.00548613;165.82;0.163744
0.310026;-303.23;-1447.34;0.00597948;-0.000400262;-0.00601691;1.58826;-303.23;-1445.6;0.252434;0.000400262;0.00601691;-1.55334;-0.00535088;-2.45983e-005;0.0169375;9.56091e-005;0.00268793;8.79344e-005;0.0152006;-0.000402107;-0.0956025;0.00278898;-0.00188174;0.000419235;-0.00535088;166.777;0.173576
0.320026;-303.23;-1447.34;0.00606486;-0.000409101;-0.00603809;1.58826;-303.23;-1445.6;0.252556;0.000409101;0.00603809;-1.55334;-0.00523965;-2.96225e-005;0.0146646;0.000117943;0.00239741;9.11646e-005;0.0142889;-0.0004255;-0.123956;0.00266239;-0.00777136;0.000397451;-0.00523965;167.905;0.184071
