x,y
-117.301,-7.50345
-117.88,-7.61905
-118.459,-7.73808
-119.039,-7.85881
-119.618,-7.98212
-120.199,-8.10799
-120.78,-8.23643
-121.36,-8.36745
-121.941,-8.50103
-122.523,-8.63718
-123.104,-8.77589
-123.685,-8.91718
-124.267,-9.06104
-124.849,-9.20746
-125.431,-9.35646
-126.013,-9.50888
-126.594,-9.66301
-127.176,-9.82056
-127.758,-9.98069
-128.34,-10.1434
-128.922,-10.3095
-129.502,-10.4782
-130.084,-10.6495
-130.665,-10.8233
-131.245,-10.9997
-131.825,-11.1795
-132.406,-11.3627
-132.984,-11.5477
-133.564,-11.7369
-134.142,-11.9279
-134.721,-12.1223
-135.298,-12.3201
-135.875,-12.5196
-136.452,-12.7234
-137.028,-12.9297
-137.603,-13.1387
-138.177,-13.351
-138.751,-13.566
-139.324,-13.7843
-139.896,-14.0061
-140.468,-14.2304
-141.037,-14.4582
-141.607,-14.6886
-142.175,-14.9223
-142.744,-15.1595
-143.31,-15.3993
-143.875,-15.6425
-144.439,-15.8882
-145.003,-16.1374
-145.565,-16.39
-146.126,-16.646
-146.685,-16.9046
-147.244,-17.1658
-147.801,-17.4313
-148.356,-17.6993
-148.911,-17.9707
-149.464,-18.2456
-150.016,-18.523
-150.566,-18.8039
-151.114,-19.0882
-151.662,-19.375
-152.207,-19.6653
-152.751,-19.959
-153.293,-20.2553
-153.833,-20.5559
-154.372,-20.859
-154.909,-21.1647
-155.444,-21.4747
-155.977,-21.7872
-156.509,-22.1023
-157.039,-22.4217
-157.567,-22.7437
-158.093,-23.0691
-158.617,-23.397
-159.138,-23.7293
-159.659,-24.0632
-160.177,-24.4015
-160.692,-24.7423
-161.206,-25.0865
-161.718,-25.4333
-162.226,-25.7844
-162.734,-26.1372
-163.239,-26.4942
-163.742,-26.8539
-164.241,-27.2161
-164.74,-27.5817
-165.235,-27.9508
-165.729,-28.3224
-166.22,-28.6975
-166.708,-29.0751
-167.195,-29.4561
-167.678,-29.8398
-168.159,-30.2268
-168.637,-30.6173
-169.113,-31.0094
-169.587,-31.4059
-170.058,-31.8041
-170.526,-32.2057
-170.992,-32.6107
-171.455,-33.0183
-171.915,-33.4285
-172.373,-33.8412
-172.827,-34.2574
-173.279,-34.6769
-173.729,-35.0982
-174.175,-35.523
-174.619,-35.9503
-175.06,-36.3801
-175.499,-36.8134
-175.934,-37.2484
-176.366,-37.6868
-176.796,-38.1278
-177.222,-38.5714
-177.646,-39.0175
-178.067,-39.467
-178.484,-39.9183
-178.9,-40.373
-179.311,-40.8294
-179.72,-41.2892
-180.126,-41.7508
-180.528,-42.2157
-180.928,-42.6824
-181.326,-43.1517
-181.719,-43.6235
-182.109,-44.0979
-182.497,-44.5748
-182.881,-45.0544
-183.262,-45.5356
-183.641,-46.0203
-184.016,-46.5066
-184.387,-46.9947
-184.755,-47.4862
-185.122,-47.9795
-185.484,-48.4744
-185.842,-48.9728
-186.199,-49.4728
-186.552,-49.9746
-186.9,-50.479
-187.247,-50.9859
-187.59,-51.4945
-187.93,-52.0049
-188.266,-52.5178
-188.6,-53.0324
-188.93,-53.5496
-189.256,-54.0686
-189.581,-54.59
-189.9,-55.1124
-190.218,-55.6373
-190.531,-56.1648
-190.842,-56.6931
-191.148,-57.224
-191.453,-57.7566
-191.753,-58.2909
-192.05,-58.827
-192.344,-59.3647
-192.635,-59.9051
-192.921,-60.4462
-193.206,-60.99
-193.487,-61.5346
-193.764,-62.0809
-194.038,-62.6298
-194.308,-63.1795
-194.576,-63.731
-194.84,-64.2841
-195.101,-64.839
-195.357,-65.3956
-195.612,-65.9531
-195.863,-66.5131
-196.11,-67.0739
-196.353,-67.6357
-196.594,-68.2
-196.832,-68.7651
-197.065,-69.3311
-197.296,-69.8997
-197.524,-70.4691
-197.747,-71.0394
-197.968,-71.6114
-198.185,-72.1852
-198.398,-72.7589
-198.609,-73.3352
-198.816,-73.9123
-199.02,-74.4903
-199.22,-75.07
-199.418,-75.6506
-199.611,-76.232
-199.802,-76.8151
-199.988,-77.3991
-200.172,-77.984
-200.353,-78.5697
-200.529,-79.1571
-200.702,-79.7454
-200.873,-80.3345
-201.04,-80.9245
-201.203,-81.5162
-201.363,-82.1079
-201.519,-82.7004
-201.674,-83.2947
-201.824,-83.889
-201.97,-84.485
-202.113,-85.0809
-202.253,-85.6786
-202.39,-86.2763
-202.523,-86.8757
-202.653,-87.4751
-202.78,-88.0754
-202.903,-88.6765
-203.022,-89.2776
-203.138,-89.8805
-203.251,-90.4833
-203.361,-91.087
-203.467,-91.6915
-203.57,-92.2961
-203.67,-92.9015
-203.765,-93.5077
-203.859,-94.114
-203.948,-94.7211
-204.034,-95.3282
-204.116,-95.937
-204.195,-96.545
-204.271,-97.1538
-204.344,-97.7635
-204.413,-98.3732
-204.477,-98.9829
-204.533,-99.5942
-204.586,-100.206
-204.638,-100.817
-204.687,-101.428
-204.736,-102.04
-204.781,-102.652
-204.826,-103.264
-204.868,-103.877
-204.909,-104.489
-204.947,-105.101
-204.974,-105.714
-204.999,-106.327
-205.02,-106.94
-205.038,-107.553
-205.052,-108.167
-205.063,-108.781
-205.071,-109.394
-205.074,-110.008
-205.075,-110.622
-205.072,-111.235
-205.065,-111.849
-205.055,-112.462
-205.042,-113.075
-205.025,-113.689
-205.005,-114.302
-204.981,-114.915
-204.954,-115.527
-204.923,-116.14
-204.889,-116.753
-204.851,-117.365
-204.81,-117.977
-204.764,-118.589
-204.717,-119.201
-204.664,-119.812
-204.609,-120.423
-204.55,-121.033
-204.488,-121.644
-204.421,-122.253
-204.352,-122.862
-204.279,-123.472
-204.202,-124.08
-204.121,-124.688
-204.038,-125.296
-203.95,-125.903
-203.859,-126.509
-203.765,-127.115
-203.667,-127.721
-203.565,-128.325
-203.461,-128.93
-203.352,-129.534
-203.239,-130.136
-203.123,-130.738
-203.003,-131.34
-202.88,-131.941
-202.753,-132.541
-202.622,-133.14
-202.488,-133.739
-202.35,-134.337
-202.209,-134.933
-202.065,-135.529
-201.916,-136.124
-201.764,-136.718
-201.607,-137.311
-201.449,-137.904
-201.285,-138.495
-201.119,-139.085
-200.948,-139.675
-200.774,-140.263
-200.596,-140.849
-200.415,-141.436
-200.23,-142.021
-200.042,-142.605
-199.849,-143.187
-199.653,-143.769
-199.453,-144.349
-199.25,-144.928
-199.044,-145.506
-198.833,-146.082
-198.618,-146.658
-198.401,-147.231
-198.18,-147.803
-197.954,-148.374
-197.726,-148.945
-197.494,-149.512
-197.257,-150.08
-197.017,-150.645
-196.774,-151.209
-196.526,-151.771
-196.277,-152.332
-196.022,-152.891
-195.765,-153.45
-195.503,-154.005
-195.237,-154.56
-194.969,-155.113
-194.697,-155.664
-194.421,-156.214
-194.141,-156.761
-193.858,-157.307
-193.572,-157.851
-193.281,-158.394
-192.988,-158.934
-192.69,-159.473
-192.389,-160.01
-192.085,-160.545
-191.776,-161.077
-191.466,-161.609
-191.15,-162.138
-190.831,-162.665
-190.509,-163.191
-190.184,-163.714
-189.856,-164.235
-189.522,-164.753
-189.187,-165.271
-188.847,-165.785
-188.504,-166.298
-188.158,-166.808
-187.808,-167.317
-187.455,-167.823
-187.099,-168.328
-186.739,-168.828
-186.376,-169.329
-186.009,-169.825
-185.64,-170.32
-185.266,-170.812
-184.89,-171.303
-184.51,-171.79
-184.127,-172.276
-183.741,-172.759
-183.351,-173.239
-182.958,-173.718
-182.563,-174.193
-182.163,-174.667
-181.761,-175.137
-181.356,-175.605
-180.947,-176.071
-180.535,-176.533
-180.121,-176.994
-179.703,-177.452
-179.282,-177.907
-178.858,-178.36
-178.431,-178.809
-178.002,-179.257
-177.569,-179.701
-177.133,-180.143
-176.695,-180.582
-176.253,-181.018
-175.809,-181.452
-175.361,-181.883
-174.912,-182.311
-174.459,-182.736
-174.003,-183.159
-173.545,-183.579
-173.083,-183.996
-172.62,-184.409
-172.153,-184.82
-171.684,-185.229
-171.212,-185.634
-170.738,-186.037
-170.261,-186.436
-169.782,-186.832
-169.3,-187.226
-168.816,-187.617
-168.329,-188.005
-167.84,-188.39
-167.348,-188.772
-166.855,-189.15
-166.359,-189.526
-165.86,-189.899
-165.359,-190.269
-164.855,-190.636
-164.35,-190.999
-163.843,-191.36
-163.334,-191.717
-162.822,-192.073
-162.308,-192.424
-161.792,-192.772
-161.274,-193.118
-160.755,-193.46
-160.233,-193.8
-159.709,-194.135
-159.184,-194.468
