x,y,z,
-151.55,-184.759,-0.917355,
-157.459,-182.238,-0.810072,
-163.338,-179.712,-0.846398,
-169.7,-175.544,-0.802618,
-111.849,-200.583,-0.899177,
-181.066,-169.463,-0.781761,
-144.464,-184.595,-1.05226,
-88.2696,-207.721,-0.770484,
-135.466,-187.192,-0.822648,
-163.26,-176.383,-0.989151,
-127.073,-190.371,-0.797894,
-134.505,-187.671,-0.795479,
-180.627,-166.425,-0.79051,
-124.038,-190.77,-0.898979,
-67.2683,-214.478,-0.418495,
-114.967,-194.256,-0.937422,
-122.278,-191.155,-0.695457,
-168.627,-170.623,-0.909352,
-196.265,-158.287,-0.32053,
-201.276,-153.857,-0.0463884,
-187.186,-160.49,-0.780382,
-172.883,-166.828,-0.850431,
-163.656,-170.381,-0.919496,
-169.549,-166.716,-0.960315,
-201.614,-152.134,-0.101836,
-193.148,-154.924,-0.675922,
-184.769,-157.909,-0.717568,
-196.828,-151.625,-0.53943,
-190.717,-140.72,-0.8567,
-154.414,-210.753,2.21466,
-171.242,-201.155,2.404,
-127.145,-219.753,1.89328,
-174.663,-198.546,2.58243,
-145.945,-212.127,0.78161,
-184.749,-136.919,-1.08174,
-135.525,-214.249,0.337727,
-141.31,-211.466,0.244683,
-169.721,-199.925,1.13986,
-112.684,-222.53,2.2917,
-180.37,-193.678,2.43504,
-165.438,-199.323,0.238493,
-109.033,-222.631,1.39508,
-135.69,-212.094,0.0845835,
-141.426,-209.789,0.0438875,
-106.569,-223.049,1.48494,
-41.6955,-194.199,-0.714397,
-181.597,-190.39,1.41046,
-124.531,-214.957,0.0870794,
-185.885,-131.629,-1.25717,
-210.376,-119.453,-0.0627347,
-164.652,-197.718,0.0279157,
-128.723,-212.974,0.0112628,
-208.698,-119.373,-0.254943,
-198.981,-122.142,-0.874628,
-173.208,-191.22,0.0956466,
-115.437,-215.774,0.0231362,
-201.24,-119.546,-0.850078,
-111.93,-215.967,0.00315158,
-199.153,-118.82,-0.868411,
-192.152,-178.88,1.2326,
-210.813,-112.671,-0.0930205,
-201.717,-116.262,-0.844345,
-195.236,-176.699,2.13141,
-186.75,-178.906,0.155815,
