Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.150002;289.773;-917.038;0.273324;0.165033;-0.00698094;-0.5645;291.204;-918.026;0.513276;-0.165033;0.00698094;2.57709;-0.00805445;0.0275884;-0.0318847;0.00647035;-0.0100491;-4.58777e-005;0.0460083;-0.195937;1.6347;0.0525347;-0.0420626;-0.00490275;-0.00805445;157.609;0.0456118
0.160002;289.773;-917.039;0.273387;0.165003;-0.0069159;-0.564488;291.204;-918.026;0.513228;-0.165003;0.0069159;2.57711;-0.00748579;0.0276079;-0.0190476;0.00501332;-0.00799337;3.35153e-005;0.0483693;-0.153113;1.55874;0.00964946;0.0115085;-0.00212457;-0.00748579;157.968;0.052925
0.170002;289.772;-917.039;0.27345;0.164974;-0.00685086;-0.564475;291.204;-918.027;0.51318;-0.164974;0.00685086;2.57712;-0.00691712;0.0276275;-0.00621054;0.00355628;-0.00593763;0.000112908;0.0507304;-0.110289;1.48278;-0.0332358;0.0650796;0.000653605;-0.00691712;158.327;0.0602381
0.180002;289.772;-917.039;0.273513;0.164944;-0.00678582;-0.564463;291.204;-918.027;0.513132;-0.164944;0.00678582;2.57713;-0.00634846;0.0276471;0.00662656;0.00209924;-0.00388189;0.000192301;0.0530914;-0.0674647;1.40682;-0.076121;0.118651;0.00343178;-0.00634846;158.686;0.0675512
0.190002;289.772;-917.04;0.273577;0.164915;-0.00672078;-0.56445;291.204;-918.027;0.513085;-0.164915;0.00672078;2.57714;-0.00577979;0.0276667;0.0194637;0.000642206;-0.00182615;0.000271694;0.0554524;-0.0246405;1.33086;-0.119006;0.172222;0.00620996;-0.00577979;159.046;0.0748644
0.200003;289.772;-917.04;0.273719;0.164895;-0.00669396;-0.564443;291.204;-918.027;0.513181;-0.164895;0.00669396;2.57715;-0.0052167;0.0278697;0.0285337;-0.000214374;-6.37934e-005;0.000324407;0.0568161;0.00566583;1.20827;-0.13368;0.199685;0.00740488;-0.0052167;159.488;0.0825002
0.210003;289.772;-917.04;0.27399;0.164891;-0.00673006;-0.564445;291.204;-918.028;0.513516;-0.164891;0.00673006;2.57715;-0.00466277;0.0283746;0.0314012;-8.22703e-005;0.00121547;0.000333188;0.0565375;0.0153606;1.00891;-0.101901;0.184162;0.00599287;-0.00466277;160.066;0.0906672
0.220003;289.772;-917.041;0.274262;0.164887;-0.00676616;-0.564447;291.203;-918.028;0.513851;-0.164887;0.00676616;2.57715;-0.00410884;0.0288796;0.0342687;4.98335e-005;0.00249474;0.00034197;0.0562589;0.0250553;0.809553;-0.0701222;0.168638;0.00458087;-0.00410884;160.645;0.0988342
0.230003;289.772;-917.041;0.274534;0.164883;-0.00680226;-0.564448;291.203;-918.028;0.514186;-0.164883;0.00680226;2.57714;-0.00355491;0.0293845;0.0371361;0.000181937;0.00377401;0.000350752;0.0559804;0.0347501;0.610195;-0.0383435;0.153114;0.00316887;-0.00355491;161.224;0.107001
0.240003;289.772;-917.041;0.274805;0.164879;-0.00683836;-0.56445;291.203;-918.029;0.51452;-0.164879;0.00683836;2.57714;-0.00300098;0.0298895;0.0400036;0.000314041;0.00505328;0.000359533;0.0557018;0.0444449;0.410836;-0.00656474;0.13759;0.00175686;-0.00300098;161.803;0.115168
