center_x,center_y
-173.05200000000002,-100.7885
-172.954323474881,-99.79329503281546
-172.856646949762,-98.79809006563093
-172.758970424643,-97.80288509844641
-172.661293899524,-96.80768013126188
-172.56361737440497,-95.81247516407736
-172.46594084928597,-94.81727019689282
-172.36826432416694,-93.8220652297083
-172.27058779904797,-92.82686026252378
-172.17291127392895,-91.83165529533925
-172.07523474880995,-90.83645032815471
-171.97755822369095,-89.84124536097019
-171.87988169857192,-88.84604039378566
-171.78220517345295,-87.85083542660114
-171.68452864833392,-86.8556304594166
-171.5868521232149,-85.86042549223208
-171.4891755980959,-84.86522052504756
-171.3914990729769,-83.87001555786303
-171.29382254785787,-82.87481059067849
-171.19614602273887,-81.87960562349397
-171.09846949761987,-80.88440065630944
-171.00079297250085,-79.8891956891249
-170.90311644738185,-78.89399072194038
-170.80543992226285,-77.89878575475586
-170.70776339714382,-76.90358078757133
-170.61008687202485,-75.9083758203868
-170.51241034690582,-74.91317085320227
-170.41473382178685,-73.91796588601775
-170.31705729666783,-72.9227609188332
-170.2193807715488,-71.92755595164869
-170.12170424642983,-70.93235098446416
-170.0240277213108,-69.93714601727963
-169.92635119619177,-68.9419410500951
-169.82867467107278,-67.94673608291058
-169.73099814595378,-66.95153111572606
-169.63332162083475,-65.95632614854154
-169.53564509571578,-64.961121181357
-169.43796857059675,-63.965916214172466
-169.34029204547772,-62.970711246987946
-169.24261552035875,-61.97550627980341
-169.14493899523973,-60.980301312618884
-169.04726247012076,-59.98509634543436
-168.94958594500173,-58.98989137824983
-168.8519094198827,-57.9946864110653
-168.75423289476373,-56.99948144388077
-168.6565563696447,-56.00427647669625
-168.55887984452573,-55.00907150951171
-168.4612033194067,-54.01386654232719
-168.36352679428768,-53.01866157514266
-168.26585026916865,-52.02345660795814
-168.16817374404965,-51.028251640773604
-168.07049721893065,-50.033046673589084
-167.97282069381166,-49.03784170640455
-167.87514416869266,-48.04263673922002
-167.77746764357363,-47.047431772035495
-167.67979111845463,-46.05222680485096
-167.58211459333563,-45.05702183766644
-167.4844380682166,-44.061816870481906
-167.3878406220323,-43.066503888721634
-167.29377689626335,-42.07093728442558
-167.19917265677054,-41.07542478493937
-167.10471324749352,-40.079897788113044
-167.01021503107714,-39.08437467583731
-166.9157272130024,-38.088850522699374
-166.82123660870045,-37.09332664845962
-166.7267467509658,-36.097802699489336
-166.63225669318905,-35.10227877054303
-166.53776668901344,-34.10675483623132
-166.44327667047543,-33.11123090335726
-166.34878665578583,-32.11570697009799
-166.25429664006504,-31.120183036941928
-166.15980662462053,-30.124659103758212
-166.065316609102,-29.12913517058191
-165.97082659360333,-28.13361123740362
-165.87633657809934,-27.138087304225863
-165.78184656259674,-26.142563371047963
-165.68735654709383,-25.1470394378701
-165.59286653159094,-24.15151550469223
-165.49837651608806,-23.15599157151436
-165.4038865005852,-22.160467638336492
-165.3093964850823,-21.16494370515862
-165.21490646957943,-20.16941977198075
-165.12041645407655,-19.17389583880288
-165.02592643857366,-18.178371905625013
-164.9314364230708,-17.182847972447142
-164.83694640756792,-16.18732403926927
-164.74245639206504,-15.191800106091403
-164.64796637656218,-14.196276172913533
-164.5534763610593,-13.200752239735664
-164.4589863455564,-12.205228306557796
-164.36449633005356,-11.209704373379925
-164.27000631455067,-10.214180440202053
-164.17551629904779,-9.218656507024187
-164.08102628354493,-8.223132573846318
-163.98653626804204,-7.227608640668446
-163.89204625253916,-6.232084707490577
-163.7975562370363,-5.236560774312709
-163.70306622153342,-4.241036841134839
-163.60857620603053,-3.245512907956967
-163.51408619052768,-2.2499889747790975
-163.4195961750248,-1.2544650416012306
-163.3251061595219,-0.2589411084233612
-163.23061614401905,0.7365828247545108
-163.13612612851617,1.7321067579323808
-163.04163611301328,2.7276306911102477
-162.94714609751043,3.723154624288117
-162.85265608200754,4.718678557465989
-162.75816606650466,5.714202490643858
-162.6636760510018,6.709726423821726
-162.56918603549892,7.705250356999596
-162.47469601999603,8.700774290177467
-162.38020600449317,9.696298223355338
-162.28571598899032,10.691822156533204
-162.1912259734874,11.687346089711074
-162.09673595798455,12.682870022888945
-162.00224594248164,13.678393956066817
-161.90775592697878,14.673917889244683
-161.8132659114759,15.669441822422552
-161.718775895973,16.664965755600424
-161.62428588047015,17.660489688778295
-161.52979586496724,18.656013621956163
-161.43530584946438,19.65153755513403
-161.34081583396153,20.647061488311902
-161.24632581845864,21.642585421489773
-161.15183580295576,22.638109354667645
-161.0573457874529,23.633633287845516
-160.96285577195,24.629157221023387
-160.86836575644713,25.62468115420126
-160.77387574094428,26.62020508737913
-160.67938572544136,27.615729020556994
-160.5848957099385,28.611252953734866
-160.49040569443565,29.606776886912737
-160.39591567893274,30.602300820090605
-160.30142566342988,31.597824753268473
-160.20693564792703,32.59334868644635
-160.1124456324241,33.58887261962421
-160.01795561692126,34.584396552802076
-159.9234656014184,35.579920485979954
-159.8289755859155,36.57544441915782
-159.73448557041263,37.5709683523357
-159.63999555490977,38.56649228551356
-159.54550553940686,39.562016218691426
-159.451015523904,40.557540151869304
-159.35652550840115,41.55306408504717
-159.26203549289824,42.54858801822503
-159.16754547739538,43.54411195140291
-159.07305546189252,44.539635884580775
-158.9785654463896,45.535159817758654
-158.88407543088672,46.53068375093652
-158.78958541538387,47.52620768411438
-158.69509539988098,48.52173161729226
-158.6006053843781,49.517255550470125
-158.50611536887524,50.51277948364799
-158.41162535337236,51.50830341682587
-158.3171353378695,52.50382735000373
-158.22264532236656,53.4993512831816
-158.12815530686396,54.494875216359496
-158.03366529136008,55.49039914953727
-157.93917527586098,56.48592308271549
-157.84468526034397,57.48144701589208
-157.75019524489375,58.4769709490747
-157.65570522919444,59.472494882234834
-157.56121521442464,60.468018815478885
-157.46672519618585,61.463542748409765
-157.3722351908936,62.45906668250943
-157.27774513728403,63.45459061224712
-157.18325526399735,64.45011455826389
-157.0887647177364,65.44563844352632
-156.9942766830497,66.44116255552703
-156.89977927504023,67.43668582132898
-156.8053168487475,68.4322122451877
-156.71235866260355,69.42787446786532
-156.62570616795077,70.42410595167935
-156.53736322712496,71.42018482648757
-156.4494732399861,72.41630459275567
-156.36146188427261,73.41241340219008
-156.27348304917064,74.40852514749926
-156.18549550019708,75.40463610614316
-156.0975102860984,76.40074727557338
-156.00952444637187,77.39685838852358
