# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.6457642950874325,-4.370329580576347,7.000669368791085,7.002578521089113
-7.401519318308555,-5.025233371115706,7.015194921520657,7.014139777318629
-8.157135639673367,-5.680293681151839,7.029239070701131,7.025260532312899
-8.912474557325561,-6.335667030181521,7.042320400364143,7.035615982175509
-9.667397369408825,-6.991509937701526,7.053957493939142,7.044881322382221
-10.421765374066851,-7.647978923208629,7.063668934323425,7.052731747912877
-11.175439869443329,-8.305230506199601,7.070973303971681,7.058842453424413
-11.928282153681948,-8.963421206171224,7.07538918500404,7.0628886334646745
-12.680153524926402,-9.622707542620264,7.076435159332263,7.064545482727378
-13.430915281320376,-10.2832460350435,7.073629808804332,7.063488196349435
-14.180428721007566,-10.945193202937702,7.066524120805476,7.059507676793835
-14.928578032220525,-11.608679450603645,7.0554566938697185,7.052892370681762
-15.675338876910622,-12.273730820401443,7.041494918495856,7.044185168412132
-16.420709763820255,-12.940347288893495,7.025712987927496,7.033963611804816
-17.164689201691836,-13.60852883264221,7.00918509585041,7.022805242322391
-17.90727569926775,-14.27827542820999,6.992985436325142,7.011287600747611
-18.64846776529041,-14.949587052159243,6.978188203722666,6.999988226991761
-19.388263908502214,-15.622463681052377,6.96586759266133,6.989484660037026
-20.12666263764556,-16.296905291451793,6.957097797943705,6.980354438016979
-20.863662461462845,-16.972911859919897,6.952953014492525,6.973175098438941
-21.599261888696457,-17.650483363019116,6.954459609699389,6.96842715633267
-22.333424323432446,-18.32965248295849,6.9614781029605615,6.966155201278797
-23.065973129801737,-19.01058237174117,6.972779445741863,6.966115969100019
-23.79669675635884,-19.693468710858525,6.9871209850904705,6.9680186164763915
-24.525383651658256,-20.37850718180191,7.00326006722495,6.971572300301341
-25.251822264254503,-21.06589346606269,7.0199540379358965,6.976486177737752
-25.975801042702088,-21.75582324513221,7.035960243145411,6.98246940634388
-26.697108435555517,-22.44849220050183,7.0500360296204265,6.989231144268955
-27.415532891369303,-23.14409601366291,7.060938745840865,6.996480550518076
-28.13086285869795,-23.84283036610681,7.067426364563511,7.003916857700259
-28.842886786095967,-24.544890939324887,7.068882266455743,7.01091564012747
-29.551408756939,-25.250458185957772,7.066469210528934,7.016486666486069
-30.256584053034466,-25.959370479357528,7.061182724575338,7.020106388763573
-30.958914549060804,-26.671128599561357,7.0535352316837425,7.021734373224876
-31.658916833355114,-27.38521899499951,7.044018647029968,7.021350697871951
-32.35710749425451,-28.10112811410225,7.0331248868772045,7.018935443901839
-33.054003120096084,-28.818342405299823,7.021345868719869,7.014468696507355
-33.75012029921696,-29.536348317022476,7.009173511449818,7.007930545751777
-34.44597561995423,-30.254632297700475,6.997099735542566,6.999301087523711
-35.14208567064502,-30.972680795764063,6.985616189174861,6.988583500619015
-35.838967039626404,-31.6899802596435,6.974938729565548,6.97653329107565
-36.5371153143979,-32.40603776676855,6.964518329253156,6.964777481749533
-37.2365545945571,-33.12082353436774,6.954323868398387,6.954336110660597
-37.93684381050258,-33.834764712643505,6.944975400384724,6.945577992019545
-38.637522155608025,-34.54830783936204,6.937120586281766,6.938844305762794
-39.338128823247125,-35.261899452289526,6.931407069552809,6.934476232506306
-40.03820300679357,-35.97598608919214,6.928482485924892,6.932814958625612
-40.737283899621026,-36.69101428783606,6.928994478524739,6.934201682273646
-41.434910695103184,-37.40743058598747,6.93359071819136,6.938977620278688
-42.13062258661374,-38.12568152141256,6.942918644027221,6.947460752164056
-42.82395876752635,-38.84621363187748,6.95733930013592,6.958329684822913
-43.514471260610556,-39.56946072795244,6.976370685713876,6.966180521847942
-44.2019997001724,-40.29557129980359,6.998978460166814,6.97575080388689
-44.88666724519788,-41.02441257149356,7.023729262270301,6.9864597588102795
-45.568609066644996,-41.75583985080114,7.049172713589832,6.99774344137386
-46.24796033547174,-42.48970844550509,7.073858311960427,7.009037891588364
-46.924856222636144,-43.2258736633842,7.096335443485455,7.0197791339959075
-47.599431899096196,-43.96419081221723,7.110221613378933,7.029403179074853
-48.27182253580991,-44.70451519978298,7.114548043782012,7.037346026712036
-48.942163303735285,-45.44670213386021,7.111658638437407,7.043043671696024
-49.61058937383033,-46.1906069222277,7.102375563326172,7.045955036360292
-50.27723591705539,-46.93608487266451,7.087797226916721,7.045846611299939
-50.94224287172818,-47.68299185663276,7.069018741547372,7.042708073708094
-51.60576879507715,-48.43118594705844,7.04712222095421,7.036546906231749
-52.26797678907728,-49.180525754229535,7.023186598608656,7.027373780244763
-52.92902995570359,-49.93086988843404,6.998290789576037,7.015199370896577
-53.589091396931074,-50.682076959959936,6.973513680486275,7.000034354893565
-54.24832421473474,-51.434005579095206,6.949934124654904,6.9818894085349665
-54.90689151108957,-52.18651435612786,6.928630338193639,6.96077520598875
-55.56495638797058,-52.939461901345865,6.910316224411344,6.936702417795736
-56.222681947352754,-53.692706825037234,6.894724949173167,6.909753338860901
-56.88023129116873,-54.44610773752666,6.881426324186794,6.880971213075431
-57.537706337543035,-55.199576282766564,6.870071106994536,6.852005206114798
-58.19497073587452,-55.95323063410469,6.860625245483103,6.824204166588435
-58.851830142514245,-56.70723923279137,6.853131405695549,6.79884022109766
-59.508090213813304,-57.461770520076904,6.847632257363195,6.777185485213729
-60.163556606122754,-58.21699293721161,6.844170473082024,6.760512065270693
-60.8180349757937,-58.97307492544579,6.842788727557916,6.750092061052965
-61.4713309791772,-59.73018492602978,6.843529607756966,6.747197569410429
-62.12325027262433,-60.48849138021388,6.8463819614185715,6.753035881109337
-62.77359851248619,-61.248162729248406,6.851189957753378,6.767408140869076
-63.42218135512678,-62.00936741436627,6.857773666414358,6.788754714195234
-64.06881434827757,-62.77226058083299,6.8659370867257605,6.815476303749633
-64.71335131409334,-63.53694592546794,6.875422030915923,6.846035761654666
-65.35565533103792,-64.30351470276803,6.885955268748723,6.878910970269561
-65.99558947757508,-65.07205816723028,6.8972635663124455,6.9125798115327095
-66.6330168321686,-65.84266757335158,6.9090736867288935,6.945520166347142
-67.26780047328232,-66.61543417562889,6.921112391698956,6.976209914513269
-67.89980347938001,-67.39044922855918,6.933106505499194,7.003126935184264
-68.52888892892548,-68.16780398663937,6.944819999925716,7.024778965545789
-69.15491990038254,-68.94758970436644,6.956116849513216,7.0403215770633265
-69.77775947237517,-69.72989763611723,6.966877687454353,7.0495372757949495
-70.39735039635231,-70.51475932213886,6.976883664620603,7.05233373357297
-71.01394212678463,-71.30197643127538,6.9855329726046484,7.049001614608193
