interpolated_x,interpolated_y,interpolated_z
-178.68400000000003,-100.30799999999999,-7.0729999999999995
-178.591434065795,-99.31229344291364,-7.06772395484963
-178.49886813158997,-98.31658688582729,-7.06244790969926
-178.40630219738495,-97.32088032874094,-7.05717186454889
-178.31373626317992,-96.32517377165459,-7.05189581939852
-178.2211703289749,-95.32946721456825,-7.04661977424815
-178.12860439476987,-94.3337606574819,-7.04134372909778
-178.03603846056484,-93.33805410039555,-7.03606768394741
-177.9434725263598,-92.3423475433092,-7.03079163879704
-177.8509065921548,-91.34664098622285,-7.02551559364667
-177.75834065794976,-90.3509344291365,-7.0202395484963
-177.66577472374473,-89.35522787205015,-7.014963503345931
-177.5732087895397,-88.3595213149638,-7.009687458195561
-177.48064285533468,-87.36381475787746,-7.004411413045191
-177.38807692112965,-86.36810820079111,-6.999135367894821
-177.29551098692463,-85.37240164370476,-6.993859322744451
-177.2029450527196,-84.37669508661841,-6.988583277594081
-177.11037911851454,-83.38098852953206,-6.983307232443711
-177.01781318430952,-82.38528197244571,-6.978031187293341
-176.9252472501045,-81.38957541535936,-6.972755142142971
-176.83268131589946,-80.39386885827301,-6.9674790969926015
-176.74011538169444,-79.39816230118666,-6.9622030518422315
-176.6475494474894,-78.40245574410031,-6.956927006691862
-176.55498351328438,-77.40674918701397,-6.951650961541492
-176.46241757907936,-76.41104262992762,-6.946374916391122
-176.36985164487433,-75.41533607284127,-6.941098871240752
-176.2772857106693,-74.41962951575492,-6.935822826090382
-176.18471977646428,-73.42392295866857,-6.930546780940012
-176.09215384225925,-72.42821640158222,-6.925270735789642
-175.99958790805422,-71.43250984449588,-6.919994690639272
-175.9070219738492,-70.43680328740953,-6.914718645488902
-175.81445603964417,-69.44109673032318,-6.909442600338532
-175.72189010543914,-68.44539017323683,-6.904166555188162
-175.62932417123412,-67.44968361615048,-6.898890510037793
-175.5367582370291,-66.45397705906413,-6.893614464887423
-175.44419230282406,-65.45827050197778,-6.888338419737053
-175.35162636861904,-64.46256394489143,-6.883062374586683
-175.259060434414,-63.466857387805085,-6.877786329436313
-175.16649450020898,-62.471150830718734,-6.872510284285943
-175.07392856600396,-61.475444273632384,-6.867234239135573
-174.98136263179893,-60.47973771654603,-6.8619581939852035
-174.8887966975939,-59.48403115945969,-6.8566821488348335
-174.79623076338888,-58.48832460237334,-6.851406103684464
-174.70366482918385,-57.49261804528699,-6.846130058534094
-174.61109889497882,-56.49691148820064,-6.840854013383724
-174.5185329607738,-55.501204931114295,-6.835577968233354
-174.42596702656877,-54.505498374027944,-6.830301923082984
-174.33340109236374,-53.50979181694159,-6.825025877932614
-174.24083515815872,-52.51408525985524,-6.819749832782244
-174.14826922395366,-51.51837870276889,-6.814473787631874
-174.05570328974864,-50.52267214568255,-6.809197742481504
-173.9631373555436,-49.5269655885962,-6.803921697331134
-173.87057142133858,-48.53125903150985,-6.798645652180764
-173.77800548713356,-47.5355524744235,-6.793369607030394
-173.68543955292853,-46.53984591733715,-6.788093561880025
-173.5928736187235,-45.5441393602508,-6.782817516729654
-173.50030768451848,-44.54843280316445,-6.777541471579285
-173.40774175031345,-43.5527262460781,-6.772265426428915
-173.31517581610842,-42.55701968899176,-6.766989381278545
-173.2226098819034,-41.56131313190541,-6.761713336128175
-173.13004394769837,-40.56560657481906,-6.756437290977805
-173.03747801349334,-39.56990001773271,-6.7511612458274355
-172.94491207928831,-38.57419346064636,-6.7458852006770655
-172.8523461450833,-37.57848690356001,-6.740609155526696
-172.75978021087826,-36.58278034647366,-6.735333110376326
-172.66721427667323,-35.58707378938732,-6.730057065225956
-172.5746483424682,-34.59136723230097,-6.724781020075586
-172.48208240826318,-33.59566067521462,-6.719504974925216
-172.38951647405815,-32.59995411812827,-6.714228929774846
-172.29695053985313,-31.604247561041916,-6.708952884624476
-172.2043846056481,-30.608541003955565,-6.703676839474106
-172.11181867144307,-29.612834446869215,-6.698400794323736
-172.01925273723805,-28.617127889782864,-6.693124749173366
-171.92668680303302,-27.621421332696528,-6.687848704022996
-171.834120868828,-26.625714775610177,-6.682572658872626
-171.74155493462297,-25.630008218523827,-6.677296613722256
-171.64898900041794,-24.634301661437476,-6.672020568571886
-171.55642306621291,-23.638595104351126,-6.666744523421517
-171.4638571320079,-22.642888547264775,-6.661468478271147
-171.37129119780286,-21.647181990178424,-6.656192433120777
-171.27872526359783,-20.651475433092074,-6.650916387970407
-171.1861593293928,-19.655768876005723,-6.6456403428200375
-171.09359339518775,-18.660062318919387,-6.6403642976696675
-171.00102746098273,-17.664355761833036,-6.635088252519298
-170.9084615267777,-16.668649204746686,-6.629812207368928
-170.81589559257267,-15.672942647660335,-6.624536162218558
-170.72332965836765,-14.677236090573984,-6.619260117068188
-170.63076372416262,-13.681529533487634,-6.613984071917818
-170.5381977899576,-12.685822976401283,-6.608708026767448
-170.44563185575257,-11.690116419314933,-6.603431981617078
-170.35306592154754,-10.694409862228596,-6.598155936466708
-170.2604999873425,-9.698703305142246,-6.592879891316338
-170.1679340531375,-8.702996748055895,-6.587603846165968
-170.07536811893246,-7.707290190969545,-6.582327801015598
-169.98280218472743,-6.711583633883194,-6.577051755865228
-169.8902362505224,-5.715877076796843,-6.571775710714858
-169.79767031631738,-4.720170519710493,-6.566499665564488
-169.70510438211235,-3.7244639626241423,-6.561223620414118
-169.61253844790733,-2.7287574055377917,-6.555947575263749
-169.5199725137023,-1.7330508484514553,-6.550671530113378
-169.42740657949727,-0.7373442913651047,-6.545395484963009
-169.33484064529225,0.2583622657212459,-6.540119439812639
