interpolated_x,interpolated_y,interpolated_z
-167.42,-101.26899999999999,-6.937
-167.317212883967,-100.27429662271729,-6.931648676176782
-167.21442576793402,-99.27959324543458,-6.926297352353563
-167.11163865190102,-98.28488986815188,-6.920946028530345
-167.00885153586805,-97.29018649086916,-6.915594704707127
-166.90606441983505,-96.29548311358646,-6.910243380883909
-166.80327730380208,-95.30077973630375,-6.90489205706069
-166.70049018776908,-94.30607635902105,-6.899540733237472
-166.5977030717361,-93.31137298173834,-6.8941894094142535
-166.4949159557031,-92.31666960445564,-6.888838085591035
-166.39212883967014,-91.32196622717294,-6.883486761767816
-166.28934172363714,-90.32726284989022,-6.878135437944598
-166.18655460760417,-89.33255947260751,-6.87278411412138
-166.08376749157117,-88.33785609532481,-6.867432790298162
-165.9809803755382,-87.3431527180421,-6.862081466474943
-165.8781932595052,-86.3484493407594,-6.856730142651725
-165.7754061434722,-85.3537459634767,-6.851378818828507
-165.67261902743923,-84.359042586194,-6.846027495005289
-165.56983191140623,-83.36433920891128,-6.84067617118207
-165.46704479537325,-82.36963583162859,-6.8353248473588515
-165.36425767934026,-81.37493245434587,-6.829973523535633
-165.26147056330728,-80.38022907706316,-6.824622199712414
-165.15868344727429,-79.38552569978046,-6.819270875889196
-165.0558963312413,-78.39082232249775,-6.813919552065978
-164.95310921520831,-77.39611894521505,-6.80856822824276
-164.85032209917534,-76.40141556793235,-6.803216904419541
-164.74753498314234,-75.40671219064964,-6.797865580596323
-164.64474786710937,-74.41200881336692,-6.792514256773105
-164.54196075107637,-73.41730543608422,-6.787162932949887
-164.4391736350434,-72.42260205880152,-6.781811609126668
-164.3363865190104,-71.42789868151881,-6.7764602853034495
-164.23359940297743,-70.43319530423611,-6.771108961480231
-164.13081228694443,-69.4384919269534,-6.765757637657013
-164.02802517091143,-68.4437885496707,-6.760406313833794
-163.92523805487846,-67.44908517238798,-6.755054990010576
-163.82245093884546,-66.45438179510529,-6.749703666187358
-163.7196638228125,-65.45967841782257,-6.74435234236414
-163.6168767067795,-64.46497504053987,-6.739001018540921
-163.51408959074652,-63.470271663257165,-6.733649694717703
-163.41130247471352,-62.47556828597446,-6.728298370894485
-163.30851535868055,-61.48086490869175,-6.722947047071266
-163.20572824264755,-60.486161531409046,-6.717595723248047
-163.10294112661458,-59.49145815412634,-6.712244399424829
-163.00015401058158,-58.49675477684364,-6.706893075601611
-162.8973668945486,-57.502051399560926,-6.701541751778392
-162.7945797785156,-56.50734802227822,-6.696190427955174
-162.69179266248264,-55.51264464499552,-6.690839104131956
-162.58900554644964,-54.517941267712814,-6.685487780308738
-162.48621843041664,-53.5232378904301,-6.680136456485519
-162.38343131438367,-52.5285345131474,-6.674785132662301
-162.28064419835067,-51.533831135864695,-6.6694338088390825
-162.1778570823177,-50.539127758581984,-6.664082485015864
-162.0750699662847,-49.54442438129928,-6.658731161192645
-161.97228285025173,-48.549721004016575,-6.653379837369427
-161.86949573421873,-47.55501762673387,-6.648028513546209
-161.76670861818576,-46.56031424945116,-6.64267718972299
-161.66392150215276,-45.565610872168456,-6.637325865899772
-161.5611343861198,-44.57090749488575,-6.631974542076554
-161.504,-44.018,-6.629
-161.40758590319928,-43.02265869073061,-6.623568469085637
-161.31117180639853,-42.02731738146122,-6.618136938171273
-161.21475770959782,-41.03197607219184,-6.61270540725691
-161.1183436127971,-40.036634762922446,-6.607273876342547
-161.02192951599636,-39.041293453653054,-6.601842345428183
-160.92551541919565,-38.04595214438367,-6.5964108145138205
-160.82910132239493,-37.050610835114284,-6.590979283599457
-160.7326872255942,-36.05526952584489,-6.585547752685094
-160.63627312879348,-35.0599282165755,-6.580116221770731
-160.53985903199276,-34.064586907306115,-6.574684690856367
-160.44344493519202,-33.06924559803673,-6.569253159942004
-160.3470308383913,-32.07390428876734,-6.563821629027641
-160.2506167415906,-31.07856297949795,-6.558390098113278
-160.15420264478985,-30.08322167022856,-6.552958567198915
-160.05778854798913,-29.087880360959172,-6.547527036284552
-159.96137445118842,-28.092539051689783,-6.542095505370188
-159.86496035438768,-27.097197742420395,-6.536663974455825
