x,y,z,idx
-1521.4848554666146,-411.3069783619227,0.0,125
-1416.345765788515,-409.693291959451,0.0,1
-1377.276477863381,-409.34662401701473,0.0,2
-1314.8118010410433,-408.5392764428659,0.0,3
-1268.9360554483928,-407.8476829253452,0.0,4
-1202.0677708307676,-407.04012413926716,0.0,5
-1138.975316084231,-406.00306762458956,0.0,6
-1111.2330942867227,-404.62327086620354,0.0,7
-1089.2683101155133,-403.18647431452,0.0,8
-1073.5956091288285,-400.4291224975012,0.0,9
-1055.1201992551914,-396.5230866986353,0.0,10
-1037.4456923151483,-390.2625308936751,0.0,11
-1015.5958814371979,-380.3839367207834,0.0,12
-993.7462178015687,-368.43802498280786,0.0,13
-968.1217171917006,-350.51961242004035,0.0,14
-953.6433920265733,-339.0296849066515,0.0,15
-937.1782047626864,-323.1257514105421,0.0,16
-923.2116880542313,-306.8938987875807,0.0,17
-907.722156377954,-285.6250065253531,0.0,18
-890.5244660889481,-255.21436276577174,0.0,19
-879.5065120473237,-228.7690833847067,0.0,20
-872.0040115240578,-201.63914428096683,0.0,21
-869.2235158753657,-184.51838361973228,0.0,22
-868.1218928597474,-173.66647669174165,0.0,23
-867.8010773367462,-160.7791530375609,0.0,24
-866.7721177637161,-128.16110464277463,0.0,25
-866.8869518051986,-98.64408875689989,0.0,26
-867.2876906862127,-72.51527288346293,0.0,27
-867.2307195892957,-42.07943516611703,0.0,28
-867.631205088112,-17.73076720599417,0.0,29
-867.9172163782603,6.101069070443053,0.0,30
-868.036070938406,32.675788678547775,0.0,31
-868.4909254730239,59.01680520048156,0.0,32
-869.346697097182,86.26793802232822,0.0,33
-870.6416416188604,110.2735359881001,0.0,34
-874.7227083651904,132.4386335047481,0.0,35
-881.2398739807264,155.3670161471117,0.0,36
-889.7396618659745,174.9638427612686,0.0,37
-899.5511653839416,194.82414253706486,0.0,38
-910.6744471388615,212.78807490048555,0.0,39
-923.0045393981271,230.38333911628533,0.0,40
-937.4859147208058,247.926051017351,0.0,41
-956.8994938265197,266.83866968441265,0.0,42
-971.6958667092493,279.1662441803075,0.0,43
