x,y,z,idx
-1499.987146060893,-404.4853809587414,0.0,125
-1432.2425113789393,-403.0631542012572,0.0,1
-1364.1629197219806,-401.63401561515263,0.0,2
-1294.4839493687527,-400.6879701960589,0.0,3
-1223.9279364698837,-399.7297766455494,0.0,4
-1181.8994442019266,-399.14452656938334,0.0,5
-1138.9001288599663,-398.5667629871243,0.0,6
-1110.4089328598448,-397.94118250734266,0.0,7
-1090.1904878396356,-395.7872130208101,0.0,8
-1074.7078764434373,-393.2297818108818,0.0,9
-1056.9272958872023,-389.1485280254591,0.0,10
-1039.2030207980922,-383.38445672331704,0.0,11
-1018.6671958525754,-374.1515128367976,0.0,12
-1002.6567980322859,-366.06295159881745,0.0,13
-976.5368318529448,-347.7249146747575,0.0,14
-958.935809900631,-333.03198605199157,0.0,15
-942.760374429201,-317.71013655474405,0.0,16
-929.4907306668706,-301.9456636076744,0.0,17
-914.1859168870669,-280.84175633629013,0.0,18
-897.6986231543158,-251.67963911706002,0.0,19
-887.0589145464144,-226.14225247665735,0.0,20
-879.8069600432939,-199.91834547294627,0.0,21
-877.1351781867397,-183.4670032130339,0.0,22
-876.0707662960626,-172.98167201865925,0.0,23
-874.9957275317802,-157.50665812597995,0.0,24
-874.7881359477763,-123.43252535972675,0.0,25
-874.7361936425211,-90.39182050045088,0.0,26
-874.8417372874915,-65.76493280255616,0.0,27
-874.946251355186,-41.14171495587632,0.0,28
-875.2472329959846,-17.555807523868516,0.0,29
-875.5228848595833,5.900649004707169,0.0,30
-876.0118644643187,32.53257245690036,0.0,31
-876.4667927325086,58.877846144051716,0.0,32
-876.9870115632557,88.97842954477267,0.0,33
-878.5674179331628,109.30174570073927,0.0,34
-882.0981906502446,130.57271528138588,0.0,35
-888.7397098920073,152.59858732506984,0.0,36
-896.9741803452889,171.5836882096441,0.0,37
-906.5276787917512,190.9217142055191,0.0,38
-917.3292930094065,208.36613732997066,0.0,39
-929.3474928566543,225.51630261123688,0.0,40
-943.3516748295658,242.48092027563305,0.0,41
-962.2322126338063,260.87422562858137,0.0,42
-976.5654781279866,272.81594377252253,0.0,43
-989.318558195734,281.94764622515913,0.0,44
-1004.5083747998051,291.6017959852904,0.0,45
-1017.3065135206327,298.66685679620196,0.0,46
-1031.6267358410632,305.7541865678137,0.0,47
-1048.7396343375185,312.41067432431487,0.0,48
-1064.1964941565761,318.2750119937451,0.0,49
-1082.645344120672,321.9401038688059,0.0,50
-1101.5421904206064,324.388916853554,0.0,51
-1134.1879306305568,325.63691866252213,0.0,52
-1177.8538516437218,326.1631720247741,0.0,53
-1228.7687853874163,325.5342571904499,0.0,54
-1280.1226140044805,325.0097953248927,0.0,55
-1330.9269597886382,324.1622785560362,0.0,56
-1383.624260305291,323.7543739374122,0.0,57
-1436.2966047403675,322.8917368761885,0.0,58
-1489.0034026147787,322.1185638858631,0.0,59
-1594.7070065377989,320.74318764702224,0.0,60
-1647.8316316169353,320.02201823861543,0.0,61
-1700.3075128920786,319.3075429464927,0.0,62
-1805.3846542290935,317.8853721415186,0.0,63
-1910.4536258313583,316.46122094572206,0.0,64
-2015.739382487824,315.03253493978946,0.0,65
-2068.6055106368003,314.3152308259669,0.0,66
-2120.3164089714446,313.6136555622018,0.0,67
-2136.230623499004,312.983614877966,0.0,68
-2156.303004826491,312.5121151090838,0.0,69
-2179.957836981113,311.10069764168793,0.0,70
-2193.072772973116,310.22685235633446,0.0,71
-2205.905391125326,308.41561208088115,0.0,72
-2220.6394685168298,305.1289617943646,0.0,73
-2246.563821249637,295.38256166909736,0.0,74
-2270.009640356704,284.2038504887703,0.0,75
-2287.4808015066205,273.7710297601148,0.0,76
-2309.9480400555653,255.74758920390659,0.0,77
-2328.4438827870767,240.00831458177578,0.0,78
-2346.577193912235,220.42327099840497,0.0,79
-2358.8919131311663,204.6654895340131,0.0,80
-2372.1751162230476,182.89981922705343,0.0,81
-2383.2950529428736,160.72702476843966,0.0,82
-2391.692658617582,140.78155467789733,0.0,83
-2399.711317344261,117.39542244262755,0.0,84
-2402.6704544889044,101.89836739243623,0.0,85
-2404.1949101339287,82.56573954496257,0.0,86
-2404.9728871946636,56.58992148893458,0.0,87
-2404.9730039124483,37.58996568709958,0.0,88
-2404.9206981464554,2.449608193670855,0.0,89
-2404.612621536899,-19.555715042844596,0.0,90
-2404.320643063187,-41.41178751434086,0.0,91
-2403.9965578679466,-63.38712369471631,0.0,92
-2403.696690911146,-85.36566786232501,0.0,93
-2403.38070857374,-107.39246505687893,0.0,94
-2403.0709793464093,-129.42672813558022,0.0,95
-2402.7642142345835,-151.47865285808177,0.0,96
-2402.4564899019197,-173.22570566113686,0.0,97
-2400.9794026800096,-192.14049213089422,0.0,98
-2398.2098111403448,-209.42795346701075,0.0,99
-2392.7797832345086,-229.65274408290003,0.0,100
-2384.8102988623164,-252.3799730836738,0.0,101
-2376.658125042213,-268.5953221561217,0.0,102
-2366.7661220778245,-286.60402873017983,0.0,103
-2354.566364853111,-304.8728922674545,0.0,104
-2341.092285161561,-321.5249172828758,0.0,105
-2329.8567005109935,-333.8250005695571,0.0,106
-2315.622676953369,-347.24371519216885,0.0,107
-2300.138758305573,-360.02667128019266,0.0,108
-2284.4055599154904,-370.862816888416,0.0,109
-2266.9803234185656,-381.37891936052466,0.0,110
-2250.0533137231387,-389.87503804928565,0.0,111
-2232.9381506216373,-396.5934532925771,0.0,112
-2213.649389184652,-403.4061135308189,0.0,113
-2197.8919765048054,-407.0598838053724,0.0,114
-2178.270001799159,-409.55314458276115,0.0,115
-2148.37766962051,-411.1555916012576,0.0,116
-2079.244757879291,-410.39017207929436,0.0,117
-2009.7380727168722,-409.6234143771568,0.0,118
-1940.7095462079792,-408.86191301694,0.0,119
-1870.834458275449,-408.0889937240797,0.0,120
-1803.4663364677976,-407.34917816566445,0.0,121
-1734.4953477347667,-406.58199993310456,0.0,122
-1664.1301205204581,-405.8067165900163,0.0,123
-1592.939204017296,-405.01770003965515,0.0,124
-1499.987146060893,-404.4853809587414,0.0,125
